team1,team2,score1,score2,time_completed,round_info,tournament_name,match_page,tournament_icon
Team Heretics,SUMN FC,3,1,1y ago,Main Event-Grand Final,First Strike: Europe,/7101/team-heretics-vs-sumn-fc-first-strike-europe-main-event-gf,https://owcdn.net/img/5f8e73ec18ba4.png
SUMN FC,FunPlus Phoenix,2,1,1y ago,Main Event-Semifinals,First Strike: Europe,/7100/sumn-fc-vs-funplus-phoenix-first-strike-europe-main-event-sf,https://owcdn.net/img/5f8e73ec18ba4.png
Team Heretics,G2 Esports,2,1,1y ago,Main Event-Semifinals,First Strike: Europe,/7099/team-heretics-vs-g2-esports-first-strike-europe-main-event-sf,https://owcdn.net/img/5f8e73ec18ba4.png
FunPlus Phoenix,nolpenki,2,0,1y ago,Main Event-Quarterfinals,First Strike: Europe,/6872/funplus-phoenix-vs-nolpenki-first-strike-europe-main-event-qf,https://owcdn.net/img/5f8e73ec18ba4.png
SUMN FC,Purple Cobras,2,0,1y ago,Main Event-Quarterfinals,First Strike: Europe,/6871/sumn-fc-vs-purple-cobras-first-strike-europe-main-event-qf,https://owcdn.net/img/5f8e73ec18ba4.png
G2 Esports,Orgless,2,0,1y ago,Main Event-Quarterfinals,First Strike: Europe,/6870/g2-esports-vs-orgless-first-strike-europe-main-event-qf,https://owcdn.net/img/5f8e73ec18ba4.png
Team Liquid,Team Heretics,1,2,1y ago,Main Event-Quarterfinals,First Strike: Europe,/6869/team-liquid-vs-team-heretics-first-strike-europe-main-event-qf,https://owcdn.net/img/5f8e73ec18ba4.png
Team Heretics,Team Finest,2,0,1y ago,C/D Playoffs-Quarterfinals,First Strike: Europe,/6471/team-heretics-vs-team-finest-first-strike-europe-c-d-playoffs-qf,https://owcdn.net/img/5f8e73ec18ba4.png
Purple Cobras,need more DM,2,1,1y ago,C/D Playoffs-Quarterfinals,First Strike: Europe,/6470/purple-cobras-vs-need-more-dm-first-strike-europe-c-d-playoffs-qf,https://owcdn.net/img/5f8e73ec18ba4.png
Prodigy,L'institut,2,1,1y ago,C/D Playoffs-Quarterfinals,First Strike: Europe,/6469/prodigy-vs-linstitut-first-strike-europe-c-d-playoffs-qf,https://owcdn.net/img/5f8e73ec18ba4.png
nolpenki,Enterprise Esports,2,1,1y ago,C/D Playoffs-Quarterfinals,First Strike: Europe,/6468/nolpenki-vs-enterprise-esports-first-strike-europe-c-d-playoffs-qf,https://owcdn.net/img/5f8e73ec18ba4.png
Enterprise Esports,eXiLe eSports,13,5,1y ago,C/D Playoffs-Round of 16,First Strike: Europe,/6461/enterprise-esports-vs-exile-esports-first-strike-europe-c-d-playoffs-ro16,https://owcdn.net/img/5f8e73ec18ba4.png
Guild Esports,nolpenki,11,13,1y ago,C/D Playoffs-Round of 16,First Strike: Europe,/6460/guild-esports-vs-nolpenki-first-strike-europe-c-d-playoffs-ro16,https://owcdn.net/img/5f8e73ec18ba4.png
Prodigy,B7 Warriors,14,12,1y ago,C/D Playoffs-Round of 16,First Strike: Europe,/6462/prodigy-vs-b7-warriors-first-strike-europe-c-d-playoffs-ro16,https://owcdn.net/img/5f8e73ec18ba4.png
L'institut,HSDIRR,13,7,1y ago,C/D Playoffs-Round of 16,First Strike: Europe,/6463/linstitut-vs-hsdirr-first-strike-europe-c-d-playoffs-ro16,https://owcdn.net/img/5f8e73ec18ba4.png
Ninjas in Pyjamas,Purple Cobras,8,13,1y ago,C/D Playoffs-Round of 16,First Strike: Europe,/6464/ninjas-in-pyjamas-vs-purple-cobras-first-strike-europe-c-d-playoffs-ro16,https://owcdn.net/img/5f8e73ec18ba4.png
Wave Esports,need more DM,9,13,1y ago,C/D Playoffs-Round of 16,First Strike: Europe,/6465/wave-esports-vs-need-more-dm-first-strike-europe-c-d-playoffs-ro16,https://owcdn.net/img/5f8e73ec18ba4.png
Team Heretics,VASTA Gaming,13,5,1y ago,C/D Playoffs-Round of 16,First Strike: Europe,/6466/team-heretics-vs-vasta-gaming-first-strike-europe-c-d-playoffs-ro16,https://owcdn.net/img/5f8e73ec18ba4.png
Team Finest,Cream Real Betis,13,9,1y ago,C/D Playoffs-Round of 16,First Strike: Europe,/6467/team-finest-vs-cream-real-betis-first-strike-europe-c-d-playoffs-ro16,https://owcdn.net/img/5f8e73ec18ba4.png
Guild Esports,Warthox Esport,13,5,1y ago,C/D Playoffs-Round of 32,First Strike: Europe,/6444/guild-esports-vs-warthox-esport-first-strike-europe-c-d-playoffs-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
Mik0nsDisciple,nolpenki,9,13,1y ago,C/D Playoffs-Round of 32,First Strike: Europe,/6445/mik0nsdisciple-vs-nolpenki-first-strike-europe-c-d-playoffs-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
Entropiq,Enterprise Esports,4,13,1y ago,C/D Playoffs-Round of 32,First Strike: Europe,/6446/entropiq-vs-enterprise-esports-first-strike-europe-c-d-playoffs-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
eXiLe eSports,iPon Esport,13,6,1y ago,C/D Playoffs-Round of 32,First Strike: Europe,/6447/exile-esports-vs-ipon-team-horizon-reapers-first-strike-europe-c-d-playoffs-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
Prodigy,FeaFeaFea,13,11,1y ago,C/D Playoffs-Round of 32,First Strike: Europe,/6448/prodigy-vs-feafeafea-first-strike-europe-c-d-playoffs-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
B7 Warriors,Rix.GG,13,7,1y ago,C/D Playoffs-Round of 32,First Strike: Europe,/6449/b7-warriors-vs-rix-gg-first-strike-europe-c-d-playoffs-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
BIG,L'institut,9,13,1y ago,C/D Playoffs-Round of 32,First Strike: Europe,/6450/big-vs-linstitut-first-strike-europe-c-d-playoffs-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
HSDIRR,UCAM Esports Club,13,6,1y ago,C/D Playoffs-Round of 32,First Strike: Europe,/6451/hsdirr-vs-ucam-esports-club-first-strike-europe-c-d-playoffs-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
Ninjas in Pyjamas,GGmate,13,6,1y ago,C/D Playoffs-Round of 32,First Strike: Europe,/6452/ninjas-in-pyjamas-vs-ggmate-first-strike-europe-c-d-playoffs-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
GRANIT GAMING,Purple Cobras,12,14,1y ago,C/D Playoffs-Round of 32,First Strike: Europe,/6453/granit-gaming-vs-purple-cobras-first-strike-europe-c-d-playoffs-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
Wygers,Wave Esports,9,13,1y ago,C/D Playoffs-Round of 32,First Strike: Europe,/6454/wygers-vs-wave-esports-first-strike-europe-c-d-playoffs-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
need more DM,ROG Esport,13,3,1y ago,C/D Playoffs-Round of 32,First Strike: Europe,/6455/need-more-dm-vs-rog-esport-first-strike-europe-c-d-playoffs-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
Team Heretics,-sheesh-,13,8,1y ago,C/D Playoffs-Round of 32,First Strike: Europe,/6456/team-heretics-vs-sheesh-first-strike-europe-c-d-playoffs-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
VASTA Gaming,Opportunists,13,9,1y ago,C/D Playoffs-Round of 32,First Strike: Europe,/6457/vasta-gaming-vs-opportunists-first-strike-europe-c-d-playoffs-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
Inside Games,Team Finest,7,13,1y ago,C/D Playoffs-Round of 32,First Strike: Europe,/6458/inside-games-vs-team-finest-first-strike-europe-c-d-playoffs-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
ex-Giants Gaming,Cream Real Betis,8,13,1y ago,C/D Playoffs-Round of 32,First Strike: Europe,/6459/giants-gaming-vs-cream-real-betis-first-strike-europe-c-d-playoffs-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
nolpenki,Team Sampi,13,9,1y ago,Qualifier D-Round of 32,First Strike: Europe,/6333/nolpenki-vs-sampi-tipsport-first-strike-europe-qualifier-d-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
GodLAN,Cream Real Betis,11,13,1y ago,Qualifier D-Round of 32,First Strike: Europe,/6334/godlan-vs-cream-real-betis-first-strike-europe-qualifier-d-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
UCAM Esports Club,Bunkergg,13,7,1y ago,Qualifier D-Round of 32,First Strike: Europe,/6335/ucam-esports-club-vs-bunkergg-first-strike-europe-qualifier-d-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
Team Finest,Event Horizon,13,8,1y ago,Qualifier D-Round of 32,First Strike: Europe,/6336/team-finest-vs-event-horizon-first-strike-europe-qualifier-d-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
SKADE,FeaFeaFea,11,13,1y ago,Qualifier D-Round of 32,First Strike: Europe,/6337/skade-vs-feafeafea-first-strike-europe-qualifier-d-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
Noobs With Attitude,GGmate,3,13,1y ago,Qualifier D-Round of 32,First Strike: Europe,/6338/nwa-vs-ggmate-first-strike-europe-qualifier-d-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
L'institut,ex-Ravens Esports Club,13,7,1y ago,Qualifier D-Round of 32,First Strike: Europe,/6339/linstitut-vs-ravens-esports-club-first-strike-europe-qualifier-d-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
Lunaris,Enterprise Esports,10,13,1y ago,Qualifier D-Round of 32,First Strike: Europe,/6340/lunaris-vs-enterprise-esports-first-strike-europe-qualifier-d-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
Purple Cobras,Kamil Klein new chapter,13,3,1y ago,Qualifier D-Round of 32,First Strike: Europe,/6341/purple-cobras-vs-kamil-klein-new-chapter-first-strike-europe-qualifier-d-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
iPon Esport,MJAOMODE,14,12,1y ago,Qualifier D-Round of 32,First Strike: Europe,/6342/ipon-team-horizon-reapers-vs-mjaomode-first-strike-europe-qualifier-d-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
-sheesh-,keepYOURskill,13,10,1y ago,Qualifier D-Round of 32,First Strike: Europe,/6343/sheesh-vs-keepyourskill-first-strike-europe-qualifier-d-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
ISOL-BULIL,Wave Esports,6,13,1y ago,Qualifier D-Round of 32,First Strike: Europe,/6344/isol-bulil-vs-wave-esports-first-strike-europe-qualifier-d-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
Opportunists,All Day Long,13,1,1y ago,Qualifier D-Round of 32,First Strike: Europe,/6345/opportunists-vs-all-day-long-first-strike-europe-qualifier-d-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
thunderPEEK,Warthox Esport,10,13,1y ago,Qualifier D-Round of 32,First Strike: Europe,/6346/thunderpeek-vs-warthox-esport-first-strike-europe-qualifier-d-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
Rix.GG,Valorando,13,7,1y ago,Qualifier D-Round of 32,First Strike: Europe,/6347/rix-gg-vs-valorando-first-strike-europe-qualifier-d-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
Team Toxic,ROG Esport,15,17,1y ago,Qualifier D-Round of 32,First Strike: Europe,/6348/team-toxic-vs-rog-esport-first-strike-europe-qualifier-d-ro32,https://owcdn.net/img/5f8e73ec18ba4.png
nolpenki,Polarity Esports,13,3,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6301/nolpenki-vs-polarity-esports-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Team Sampi,Dawn of Stars,13,8,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6302/sampi-tipsport-vs-dawn-of-stars-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Souldazz,GodLAN,15,17,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6303/souldazz-vs-godlan-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Cream Real Betis,Nice Cars,13,6,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6304/cream-real-betis-vs-nice-cars-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
UCAM Esports Club,team cotch,13,9,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6305/ucam-esports-club-vs-team-cotch-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
FTW Esports,Bunkergg,9,13,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6306/ftw-esports-vs-bunkergg-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Team Finest,Miracles,13,10,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6307/team-finest-vs-miracles-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Movistar Riders,Event Horizon,11,13,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6308/movistar-riders-vs-event-horizon-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
SKADE,VETERANOS e-Sports,13,11,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6309/skade-vs-veteranos-e-sports-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
FeaFeaFea,h$666,15,13,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6310/feafeafea-vs-h-666-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Noobs With Attitude,Marten Gaming,13,4,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6311/nwa-vs-marten-gaming-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
L'institut,Constant rise,13,4,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6313/linstitut-vs-constant-rise-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Entropiq Bravo,ex-Ravens Esports Club,10,13,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6314/entropiq-bravo-vs-ravens-esports-club-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Lunaris,1stCav eSport Club,13,1,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6315/lunaris-vs-1stcav-esport-club-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Enterprise Esports,Cool Guys,13,6,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6316/enterprise-esports-vs-cool-guys-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Purple Cobras,NoPracc,13,5,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6317/purple-cobras-vs-nopracc-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Kamil Klein new chapter,DrAgOnZz,13,7,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6318/kamil-klein-new-chapter-vs-dragonzz-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
iPon Esport,GodVibes,13,7,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6319/ipon-team-horizon-reapers-vs-godvibes-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
MJAOMODE,Grow uP eSports,13,8,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6320/mjaomode-vs-grow-up-esports-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
-sheesh-,Max Control,13,6,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6321/sheesh-vs-max-control-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
hREDS,keepYOURskill,12,14,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6322/hreds-vs-keepyourskill-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
ISOL-BULIL,Sprayz Gaming,13,10,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6323/isol-bulil-vs-sprayz-gaming-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Wave Esports,Team 7AM,13,4,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6324/wave-esports-vs-team-7am-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Opportunists,Tarren Mill,13,4,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6325/opportunists-vs-tarren-mill-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Arctic Gaming,All Day Long,6,13,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6326/arctic-gaming-vs-all-day-long-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
eSuba,thunderPEEK,9,13,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6327/esuba-vs-thunderpeek-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Warthox Esport,Dambis,13,10,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6328/warthox-esport-vs-dambis-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Rix.GG,BALANCED?,13,5,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6329/rix-gg-vs-balanced-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
LES PILLEURS,Valorando,2,13,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6330/les-pilleurs-vs-valorando-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Team Toxic,Team Spectralis,13,11,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6331/team-toxic-vs-team-spectralis-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
ROG Esport,YAZDA,13,5,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6332/rog-esport-vs-yazda-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
GGmate,Nexus Gaming,14,12,1y ago,Qualifier D-Round of 64,First Strike: Europe,/6312/ggmate-vs-nexus-gaming-first-strike-europe-qualifier-d-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Lunaris,Team Doggo,13,4,1y ago,Qualifier D-Round of 128,First Strike: Europe,/6265/lunaris-vs-team-doggo-first-strike-europe-qualifier-d-ro128,https://owcdn.net/img/5f8e73ec18ba4.png
MJAOMODE,ETERNAL,13,5,1y ago,Qualifier D-Round of 128,First Strike: Europe,/6275/mjaomode-vs-eternal-first-strike-europe-qualifier-d-ro128,https://owcdn.net/img/5f8e73ec18ba4.png
Valorando,AYB Esports,13,10,1y ago,Qualifier D-Round of 128,First Strike: Europe,/6296/valorando-vs-ayb-esports-first-strike-europe-qualifier-d-ro128,https://owcdn.net/img/5f8e73ec18ba4.png
Nexus Gaming,The Stream Team,13,0,1y ago,Qualifier D-Round of 128,First Strike: Europe,/6260/nexus-gaming-vs-the-stream-team-first-strike-europe-qualifier-d-ro128,https://owcdn.net/img/5f8e73ec18ba4.png
Akademus Esport,PuR eSport,8,13,1y ago,Qualifier D-Round of 256,First Strike: Europe,/6126/akademus-esport-vs-pur-esport-first-strike-europe-qualifier-d-ro256,https://owcdn.net/img/5f8e73ec18ba4.png
